latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-24.21801,-59.76074,306.35,1.2,1.09,2021-12-27,0225,T,61,6.1NRT,295.84,6.83,N
-24.13154,-60.71722,305.96,1.36,1.15,2021-12-27,0225,T,61,6.1NRT,295.2,7.89,N
-24.11954,-60.70534,312.44,1.35,1.15,2021-12-27,0228,T,83,6.1NRT,296.61,13.87,N
-24.12112,-60.71869,310.7,1.36,1.15,2021-12-27,0228,T,76,6.1NRT,296.06,11.92,N
-23.47782,-59.20844,311.64,1.12,1.05,2021-12-27,0228,T,83,6.1NRT,296.94,9.37,N
-23.47922,-59.21937,311.01,1.12,1.05,2021-12-27,0228,T,75,6.1NRT,296.58,8.84,N
-23.46831,-59.20988,309.95,1.12,1.05,2021-12-27,0228,T,78,6.1NRT,298.03,8.18,N
-23.6049,-61.07473,308.42,1.4,1.17,2021-12-27,0228,T,71,6.1NRT,296.42,9.63,N
-23.31604,-61.35136,307.85,1.45,1.19,2021-12-27,0228,T,70,6.1NRT,296.45,9.07,N
-22.0936,-56.67665,336.26,1.01,1,2021-12-27,0228,T,100,6.1NRT,295.6,35.69,N
-22.09501,-56.68638,318.51,1.01,1,2021-12-27,0228,T,97,6.1NRT,294.34,14.18,N
-22.10535,-60.83192,309.26,1.3,1.13,2021-12-27,0228,T,69,6.1NRT,283.87,16.36,N
-21.7311,-61.43074,303.49,1.4,1.17,2021-12-27,0228,T,48,6.1NRT,290.72,7.81,N
-21.73271,-61.44426,305.79,1.4,1.17,2021-12-27,0228,T,66,6.1NRT,291.48,10.05,N
-21.00194,-57.98058,305.86,1,1,2021-12-27,0228,T,66,6.1NRT,295.29,4.16,N
-20.99292,-57.98204,310.23,1,1,2021-12-27,0228,T,79,6.1NRT,295.64,6.93,N
-19.82079,-62.93145,311.14,1.66,1.27,2021-12-27,0228,T,82,6.1NRT,292.91,21.38,N
-13.96352,-51.73016,305.2,2.54,1.53,2021-12-27,0230,T,63,6.1NRT,293.05,19.59,N
-39.11256,-66.33128,318.61,4.61,1.97,2021-12-27,0221,T,97,6.1NRT,291.74,134.76,N
-39.1132,-66.28397,304.33,4.57,1.96,2021-12-27,0221,T,27,6.1NRT,293.46,36.77,N
-39.11485,-66.33821,310.44,4.61,1.97,2021-12-27,0221,T,80,6.1NRT,291.25,74.47,N
-39.09679,-66.3389,305.65,4.61,1.97,2021-12-27,0221,T,65,6.1NRT,290.78,48.49,N
-34.1503,-58.98405,304.37,1.43,1.18,2021-12-27,0223,T,55,6.1NRT,293.72,8.57,N
-34.00969,-58.82303,301.36,1.4,1.17,2021-12-27,0223,T,40,6.1NRT,289.69,8.28,N
-33.99747,-58.80943,318.87,1.39,1.17,2021-12-27,0223,T,98,6.1NRT,293.15,28.01,N
-33.99908,-58.82464,325.49,1.4,1.17,2021-12-27,0223,T,100,6.1NRT,292.79,39.22,N
-33.88415,-58.50111,311.75,1.34,1.15,2021-12-27,0223,T,43,6.1NRT,290.86,15.19,N
-33.86336,-58.50438,307.79,1.34,1.15,2021-12-27,0223,T,73,6.1NRT,290.18,12.1,N
-33.86493,-58.51892,308.03,1.34,1.15,2021-12-27,0223,T,73,6.1NRT,290.31,12.69,N
-32.96778,-60.54436,302.6,1.72,1.29,2021-12-27,0223,T,50,6.1NRT,289.51,13.89,N
-32.95438,-60.52743,316.29,1.71,1.28,2021-12-27,0223,T,93,6.1NRT,289.02,33.64,N
-32.95609,-60.54592,328.69,1.72,1.29,2021-12-27,0223,T,100,6.1NRT,289.64,61.66,N
-32.95903,-60.53271,332.17,1.71,1.28,2021-12-27,0223,T,100,6.1NRT,290.92,71.45,N
-32.96086,-60.55119,318.1,1.72,1.29,2021-12-27,0223,T,96,6.1NRT,289.8,35.97,N
-30.5368,-58.98612,303.66,1.29,1.13,2021-12-27,0223,T,56,6.1NRT,291.07,9.15,N
-30.53831,-58.99967,302.99,1.3,1.13,2021-12-27,0223,T,53,6.1NRT,291.61,8.63,N
-29.37951,-56.83358,309.96,1.04,1.02,2021-12-27,0223,T,79,6.1NRT,291.75,10.61,N
8.46972,-66.45342,309.4,1.17,1.08,2021-12-27,0234,T,77,6.1NRT,293.7,9.17,N
9.27335,-64.04044,303.67,1,1,2021-12-27,0234,T,56,6.1NRT,291.88,5.07,N
9.23633,-64.30151,365.46,1,1,2021-12-27,0234,T,100,6.1NRT,292.36,101.68,N
9.23505,-64.31052,318.35,1,1,2021-12-27,0234,T,97,6.1NRT,291.08,15.73,N
9.37024,-64.52107,334.48,1,1,2021-12-27,0234,T,100,6.1NRT,289.81,35.16,N
9.38529,-64.54765,315.12,1,1,2021-12-27,0234,T,91,6.1NRT,290.17,13.87,N
9.56155,-63.62434,305.71,1.01,1,2021-12-27,0234,T,65,6.1NRT,291.17,6.21,N
9.56027,-63.63343,324.81,1.01,1,2021-12-27,0234,T,100,6.1NRT,292.12,22.53,N
9.64567,-63.54999,314.12,1.01,1.01,2021-12-27,0234,T,89,6.1NRT,291.64,11.61,N
9.64439,-63.55911,331.82,1.01,1.01,2021-12-27,0234,T,100,6.1NRT,292.51,30.43,N
9.64312,-63.56822,315.34,1.01,1.01,2021-12-27,0234,T,91,6.1NRT,291.45,12.86,N
9.64185,-63.57734,312.25,1.01,1,2021-12-27,0234,T,84,6.1NRT,291.01,10.46,N
9.62151,-63.72285,343.87,1.01,1,2021-12-27,0234,T,100,6.1NRT,293.26,50.41,N
9.62024,-63.73193,321.56,1.01,1,2021-12-27,0234,T,100,6.1NRT,291.14,19.22,N
9.6572,-63.53306,310.31,1.01,1.01,2021-12-27,0234,T,80,6.1NRT,291.41,8.99,N
9.65593,-63.54219,309.57,1.01,1.01,2021-12-27,0234,T,78,6.1NRT,291.29,8.4,N
9.65338,-63.56044,320.47,1.01,1.01,2021-12-27,0234,T,100,6.1NRT,291.85,16.9,N
9.65211,-63.56955,328.67,1.01,1.01,2021-12-27,0234,T,100,6.1NRT,292.22,26.84,N
9.65083,-63.57866,301.76,1.01,1,2021-12-27,0234,T,44,6.1NRT,290.98,3.71,N
9.64574,-63.61509,310.88,1.01,1,2021-12-27,0234,T,81,6.1NRT,291.48,9.47,N
9.64447,-63.62418,305.5,1.01,1,2021-12-27,0234,T,65,6.1NRT,291.35,5.87,N
9.65472,-63.6164,321.3,1.01,1,2021-12-27,0234,T,100,6.1NRT,291.94,18.18,N
9.65345,-63.6255,376.74,1.01,1,2021-12-27,0234,T,100,6.1NRT,295.5,141.26,N
9.65217,-63.63459,344.16,1.01,1,2021-12-27,0234,T,100,6.1NRT,291.59,50.4,N
9.70344,-63.5305,323.09,1.01,1.01,2021-12-27,0234,T,100,6.1NRT,291.25,21.01,N
9.73096,-63.46563,302.79,1.02,1.01,2021-12-27,0234,T,51,6.1NRT,291.04,4.7,N
9.74505,-63.43031,301.49,1.02,1.01,2021-12-27,0234,T,42,6.1NRT,290.56,4.09,N
9.73869,-63.4761,316,1.02,1.01,2021-12-27,0234,T,92,6.1NRT,290.74,13.85,N
9.77708,-63.26574,307.55,1.03,1.01,2021-12-27,0234,T,72,6.1NRT,291.53,7.72,N
9.7758,-63.27498,301.54,1.02,1.01,2021-12-27,0234,T,42,6.1NRT,290.97,3.98,N
9.83166,-63.33642,302.46,1.02,1.01,2021-12-27,0234,T,49,6.1NRT,291.11,4.33,N
9.83039,-63.34564,305.05,1.02,1.01,2021-12-27,0234,T,63,6.1NRT,291.17,5.92,N
9.84973,-63.33907,302.48,1.02,1.01,2021-12-27,0234,T,16,6.1NRT,291.12,4.02,N
9.97243,-63.18299,300.61,1.03,1.02,2021-12-27,0234,T,31,6.1NRT,289.84,3.69,N
10.05734,-64.86669,327.6,1.01,1,2021-12-27,0234,T,100,6.1NRT,292.53,24.76,N
10.05604,-64.87581,314.21,1.01,1,2021-12-27,0234,T,89,6.1NRT,291.16,10.92,N
10.05473,-64.88493,330.83,1.01,1,2021-12-27,0234,T,100,6.1NRT,291.62,29.01,N
10.05343,-64.89402,302.6,1.01,1,2021-12-27,0234,T,36,6.1NRT,290.31,3.6,N
10.21338,-64.61495,304.75,1,1,2021-12-27,0234,T,61,6.1NRT,291.64,5.25,N
11.74258,-70.1872,307.16,1.86,1.33,2021-12-27,0234,T,70,6.1NRT,291.39,15.23,N
11.73987,-70.2042,333.43,1.87,1.34,2021-12-27,0234,T,100,6.1NRT,291.99,79.96,N
4.81577,-70.28532,309.21,2.53,1.53,2021-12-27,0234,T,66,6.1NRT,282.05,30.28,N
4.82942,-70.28736,307.94,2.53,1.53,2021-12-27,0234,T,71,6.1NRT,278.96,27.7,N
4.82238,-70.2918,320.37,2.53,1.53,2021-12-27,0234,T,98,6.1NRT,280.17,64.27,N
6.65264,-63.76494,302.04,1,1,2021-12-27,0234,T,46,6.1NRT,290.37,4.24,N
6.67689,-63.72276,304.23,1,1,2021-12-27,0234,T,59,6.1NRT,291.12,5.04,N
6.67562,-63.73172,325.61,1,1,2021-12-27,0234,T,100,6.1NRT,291.69,22.94,N
6.4084,-69.55035,316.7,2.07,1.4,2021-12-27,0234,T,94,6.1NRT,291.77,39.58,N
6.40557,-69.56883,307.81,2.08,1.4,2021-12-27,0234,T,73,6.1NRT,291.63,19.9,N
6.40963,-69.55591,320.87,2.07,1.4,2021-12-27,0234,T,100,6.1NRT,291.91,49.36,N
8.49512,-63.94516,306.42,1,1,2021-12-27,0234,T,68,6.1NRT,291.52,6.83,N
8.25776,-66.02343,308.54,1.12,1.06,2021-12-27,0234,T,75,6.1NRT,289.47,9.4,N
8.68977,-63.14825,302.1,1.02,1.01,2021-12-27,0234,T,47,6.1NRT,291.78,3.9,N
8.68849,-63.15742,323.28,1.02,1.01,2021-12-27,0234,T,100,6.1NRT,292.65,20.95,N
8.56019,-64.1349,305.31,1,1,2021-12-27,0234,T,64,6.1NRT,292.03,6.14,N
-38.41142,-73.14292,324.07,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,289.56,34.86,N
-38.41434,-73.15865,304.89,1.34,1.15,2021-12-27,0359,T,12,6.1NRT,288.91,9.9,N
-38.40619,-73.1499,328.97,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,290,41.17,N
-38.39589,-73.15277,336.37,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,291.09,58.12,N
-38.38029,-73.12659,327.73,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,291.17,40.94,N
-38.3831,-73.14207,354.74,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,296.01,112.86,N
-38.38595,-73.15775,345.4,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,293.58,81.38,N
-38.3703,-73.13134,346.72,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,292.16,87.7,N
-38.37313,-73.14684,382.17,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,299.07,252.44,N
-38.37597,-73.16242,357.06,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,292.53,121.67,N
-38.35999,-73.13421,326.43,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,290.2,40.31,N
-38.36285,-73.14983,339.36,1.35,1.15,2021-12-27,0359,T,100,6.1NRT,290.89,67.69,N
-38.07372,-72.59534,334.48,1.46,1.19,2021-12-27,0359,T,100,6.1NRT,291.19,63.26,N
-38.07669,-72.61108,304.27,1.46,1.19,2021-12-27,0359,T,59,6.1NRT,289.09,12.21,N
-38.0341,-72.6236,307.56,1.46,1.19,2021-12-27,0359,T,11,6.1NRT,289.15,13.35,N
-38.02927,-72.61359,318.73,1.46,1.19,2021-12-27,0359,T,47,6.1NRT,290.83,27.2,N
-38.01242,-72.58358,321.07,1.46,1.2,2021-12-27,0359,T,98,6.1NRT,289.64,32.64,N
-37.99127,-72.59104,313.68,1.46,1.2,2021-12-27,0359,T,61,6.1NRT,290.61,20.87,N
-37.99416,-72.60633,328.49,1.46,1.19,2021-12-27,0359,T,100,6.1NRT,291.92,46.52,N
-37.99287,-72.65924,305.45,1.45,1.19,2021-12-27,0359,T,46,6.1NRT,289.55,11.97,N
-37.97159,-72.6655,311.85,1.45,1.19,2021-12-27,0359,T,23,6.1NRT,290.77,17.65,N
-37.95795,-72.65285,343.7,1.46,1.19,2021-12-27,0359,T,100,6.1NRT,291.77,85.99,N
-37.96096,-72.66868,326.47,1.45,1.19,2021-12-27,0359,T,100,6.1NRT,291.05,42,N
-37.94735,-72.65623,311.78,1.46,1.19,2021-12-27,0359,T,74,6.1NRT,289.9,18.29,N
-36.79698,-72.49037,338.03,1.57,1.23,2021-12-27,0359,T,100,6.1NRT,281.8,78.74,N
-36.78597,-72.49366,309.09,1.57,1.23,2021-12-27,0359,T,31,6.1NRT,272.32,18.42,N
-36.79467,-72.47881,323.56,1.57,1.24,2021-12-27,0359,T,100,6.1NRT,276.53,43.07,N
-36.79806,-72.49673,324.44,1.57,1.23,2021-12-27,0359,T,91,6.1NRT,281.12,44.5,N
-36.78707,-72.5001,307.75,1.57,1.23,2021-12-27,0359,T,38,6.1NRT,272.6,16.66,N
-34.28195,-70.64374,302.36,2.32,1.47,2021-12-27,0401,T,49,6.1NRT,291.7,18.31,N
-34.28688,-70.6469,305.42,2.32,1.47,2021-12-27,0401,T,47,6.1NRT,292.35,22.01,N
-41.52258,-71.55092,314.71,1.4,1.17,2021-12-27,0359,T,90,6.1NRT,288.19,25.8,N
-41.52594,-71.56873,305.12,1.4,1.17,2021-12-27,0359,T,63,6.1NRT,287.29,14.82,N
-41.48689,-71.65436,309.43,1.39,1.17,2021-12-27,0359,T,77,6.1NRT,286.11,17.43,N
-41.4903,-71.6722,323.98,1.39,1.17,2021-12-27,0359,T,100,6.1NRT,289.1,37.09,N
-41.4865,-71.67934,343.7,1.39,1.17,2021-12-27,0359,T,100,6.1NRT,290.9,82.74,N
-41.48897,-71.6924,354.21,1.39,1.17,2021-12-27,0359,T,100,6.1NRT,298.17,115.42,N
-41.49209,-71.70923,326.07,1.38,1.16,2021-12-27,0359,T,92,6.1NRT,292.03,39.83,N
-20.23823,-40.23559,311.54,1.01,1,2021-12-27,0401,A,57,6.1NRT,294.72,8.84,N
-25.65337,-42.85845,316.61,1.08,1.04,2021-12-27,0404,A,91,6.1NRT,294.79,14.65,N
-33.86866,-58.4921,303.77,2.8,1.6,2021-12-27,0544,A,54,6.1NRT,287.98,29.71,N
-36.75117,-72.48746,311.06,1.25,1.11,2021-12-27,0546,A,45,6.1NRT,292.09,13.1,N
-36.75616,-72.51791,312.88,1.26,1.11,2021-12-27,0546,A,82,6.1NRT,292.29,15.21,N
-36.76112,-72.49025,307.94,1.25,1.11,2021-12-27,0546,A,16,6.1NRT,292.06,9.62,N
-36.78352,-72.48183,319.88,1.25,1.11,2021-12-27,0546,A,86,6.1NRT,293.45,22.42,N
-36.78222,-72.48701,315.86,1.25,1.11,2021-12-27,0546,A,40,6.1NRT,293.26,17.07,N
-36.7922,-72.48961,311.57,1.25,1.11,2021-12-27,0546,A,56,6.1NRT,293.08,13.57,N
-36.7947,-72.47589,308.49,1.25,1.11,2021-12-27,0546,A,22,6.1NRT,292.51,10.67,N
-36.80215,-72.49233,309.54,1.25,1.11,2021-12-27,0546,A,78,6.1NRT,291.88,12.35,N
-37.93235,-72.6376,300.94,1.22,1.1,2021-12-27,0546,A,14,6.1NRT,289.65,5.96,N
-37.94965,-72.65644,304.22,1.22,1.1,2021-12-27,0546,A,13,6.1NRT,289.15,8.05,N
-37.95211,-72.64252,314.57,1.22,1.1,2021-12-27,0546,A,89,6.1NRT,288.85,17.77,N
-37.95943,-72.65959,312.82,1.22,1.1,2021-12-27,0546,A,64,6.1NRT,289.62,15.64,N
-37.96196,-72.64523,313.91,1.22,1.1,2021-12-27,0546,A,76,6.1NRT,289.04,16.71,N
-37.95997,-72.65181,322.63,1.22,1.1,2021-12-27,0546,A,100,6.1NRT,289.86,28.17,N
-37.97246,-72.58292,301.67,1.21,1.09,2021-12-27,0546,A,30,6.1NRT,288.64,6.86,N
-37.98952,-72.60255,316.33,1.21,1.1,2021-12-27,0546,A,82,6.1NRT,290.01,18.88,N
-37.99211,-72.58816,321.74,1.21,1.09,2021-12-27,0546,A,100,6.1NRT,290.24,25.68,N
-37.98942,-72.66043,307.72,1.22,1.1,2021-12-27,0546,A,72,6.1NRT,288.31,12.45,N
-38.02879,-72.61336,306.49,1.21,1.1,2021-12-27,0546,A,9,6.1NRT,288.57,9.8,N
-38.07547,-72.58836,301.4,1.21,1.09,2021-12-27,0546,A,22,6.1NRT,287.73,7.24,N
-39.09188,-66.33104,302.36,1.15,1.07,2021-12-27,0546,A,49,6.1NRT,291.66,5.15,N
-39.09352,-66.31765,336.39,1.15,1.07,2021-12-27,0546,A,100,6.1NRT,293,45.74,N
-39.09517,-66.30424,361.2,1.15,1.07,2021-12-27,0546,A,100,6.1NRT,295.72,109.34,N
-39.09418,-66.32458,312.24,1.15,1.07,2021-12-27,0546,A,84,6.1NRT,292.02,13.68,N
-39.09578,-66.31117,353.05,1.15,1.07,2021-12-27,0546,A,100,6.1NRT,295.55,85.03,N
-39.09737,-66.29774,323.35,1.15,1.07,2021-12-27,0546,A,100,6.1NRT,293.56,26.18,N
-39.10388,-66.32647,310.95,1.15,1.07,2021-12-27,0546,A,81,6.1NRT,291.92,12.48,N
-39.10548,-66.31306,341.38,1.15,1.07,2021-12-27,0546,A,100,6.1NRT,293.58,56.45,N
-39.10707,-66.29962,310.56,1.15,1.07,2021-12-27,0546,A,80,6.1NRT,291.51,12.25,N
-38.35796,-73.13654,337.67,1.26,1.12,2021-12-27,0546,A,100,6.1NRT,290.01,57.75,N
-38.36541,-73.15323,309.43,1.27,1.12,2021-12-27,0546,A,77,6.1NRT,288.44,14.19,N
-38.36805,-73.13888,345.43,1.26,1.12,2021-12-27,0546,A,100,6.1NRT,293.42,76.44,N
-38.37063,-73.1248,323.27,1.26,1.12,2021-12-27,0546,A,100,6.1NRT,290.41,30.23,N
-38.37541,-73.15606,356.73,1.27,1.12,2021-12-27,0546,A,100,6.1NRT,291.14,109.93,N
-38.37788,-73.14257,361.81,1.26,1.12,2021-12-27,0546,A,100,6.1NRT,296.02,128.61,N
-38.38036,-73.12905,337.16,1.26,1.12,2021-12-27,0546,A,100,6.1NRT,291.07,54.6,N
-38.38768,-73.14655,326.19,1.26,1.12,2021-12-27,0546,A,100,6.1NRT,290.3,34.47,N
-38.40012,-73.136,302.17,1.26,1.12,2021-12-27,0546,A,47,6.1NRT,287.79,8.4,N
-38.40752,-73.15312,320.39,1.26,1.12,2021-12-27,0546,A,100,6.1NRT,288.01,27.08,N
-38.41029,-73.13777,335.21,1.26,1.12,2021-12-27,0546,A,100,6.1NRT,288.04,52.33,N
-38.41304,-73.12254,313.47,1.26,1.12,2021-12-27,0546,A,87,6.1NRT,287.25,18.59,N
-41.4864,-71.68356,344.21,1.04,1.02,2021-12-27,0546,A,100,6.1NRT,276.6,58.2,N
-41.49231,-71.64706,346.82,1.03,1.02,2021-12-27,0546,A,100,6.1NRT,277.99,62.79,N
-41.49433,-71.63455,303.64,1.03,1.02,2021-12-27,0546,A,56,6.1NRT,272.73,9.86,N
-41.51724,-71.55138,312.56,1.03,1.01,2021-12-27,0546,A,85,6.1NRT,278.09,15.85,N
-19.81868,-62.94192,320.14,1.04,1.02,2021-12-27,0542,A,100,6.1NRT,292.94,19.08,N
-19.82008,-62.93198,316.93,1.04,1.02,2021-12-27,0542,A,94,6.1NRT,293.01,15.82,N
-22.09621,-56.66661,305.93,2.73,1.58,2021-12-27,0542,A,66,6.1NRT,290.54,31.79,N
-21.7233,-61.43266,307.88,1.26,1.12,2021-12-27,0542,A,73,6.1NRT,292.93,10.84,N
-22.10372,-60.82843,304.61,1.39,1.17,2021-12-27,0542,A,61,6.1NRT,290.97,9.73,N
-23.34159,-59.16938,322.08,1.86,1.33,2021-12-27,0542,A,100,6.1NRT,294.85,48.78,N
-23.35368,-59.17086,325.94,1.86,1.33,2021-12-27,0542,A,100,6.1NRT,294.49,58.57,N
-23.35564,-59.15255,328.13,1.87,1.34,2021-12-27,0542,A,100,6.1NRT,294.79,65.31,N
-24.91933,-56.51712,302.97,3.03,1.66,2021-12-27,0542,A,52,6.1NRT,290.23,31.92,N
-24.66925,-61.14965,304.99,1.43,1.18,2021-12-27,0542,A,38,6.1NRT,285.62,10.36,N
-23.82359,-70.31358,303.04,1.61,1.25,2021-12-27,0542,A,53,6.1NRT,285.69,16.27,N
-29.28162,-62.02038,310.89,1.45,1.19,2021-12-27,0544,A,81,6.1NRT,289.12,20.43,N
-29.28495,-62.0265,305.26,1.45,1.19,2021-12-27,0544,A,64,6.1NRT,289.21,13.57,N
-29.28658,-62.01151,304.95,1.45,1.19,2021-12-27,0544,A,62,6.1NRT,288.69,13.26,N
-29.42138,-61.17183,301.68,1.64,1.26,2021-12-27,0544,A,43,6.1NRT,287.91,13.32,N
-33.86836,-58.4845,301.45,2.8,1.6,2021-12-27,0544,A,40,6.1NRT,288.41,24.42,N
2.54836,-61.00313,302.55,1.07,1.03,2021-12-27,0535,A,50,6.1NRT,291.59,3.99,N
-9.22422,-60.33307,306.54,1.07,1.03,2021-12-27,0540,A,68,6.1NRT,282.37,8.05,N
-9.23487,-60.32473,316,1.07,1.03,2021-12-27,0540,A,92,6.1NRT,282.8,14.97,N
-9.2548,-60.31768,305.03,1.07,1.03,2021-12-27,0540,A,63,6.1NRT,280.73,7.32,N
10.05776,-64.87438,307.84,2.48,1.52,2021-12-27,0533,A,73,6.1NRT,288.54,30.17,N
