,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,Fuente,brightness,bright_t31,Coordenadas,Locacion,road,city,county,state,country,country_code,industrial,town,isolated_dwelling,hamlet,postcode,building,neighbourhood,region,suburb,amenity,man_made,village,office,historic,aeroway,tourism,state_district,highway,Comuna,REGION,PROVINCIA,COMUNA,ComunaUpper,raw,level_0,index,NOM_REGION,NOM_PROVINCIA
24912,-38.45309,-68.49252,302.9,0.64,0.54,2022-06-30,446,N,nominal,2.0NRT,273.73,1.25,N,SUOMI,,,"-38.45309,-68.49252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27875.0, , 
24913,-38.45798,-68.49458,302.95,0.64,0.54,2022-06-30,446,N,nominal,2.0NRT,273.55,1.4,N,SUOMI,,,"-38.45798,-68.49458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27876.0, , 
24914,-38.41083,-68.72059,301.59,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,270.35,0.6,N,SUOMI,,,"-38.41083,-68.72059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27877.0, , 
24915,-38.41178,-68.7169,301.51,0.33,0.55,2022-06-30,446,N,nominal,2.0NRT,270.67,0.6,N,SUOMI,,,"-38.41178,-68.7169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27878.0, , 
24916,-38.33422,-69.05898,335.63,0.34,0.56,2022-06-30,446,N,nominal,2.0NRT,273.98,1.83,N,SUOMI,,,"-38.33422,-69.05898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27879.0, , 
24917,-27.45838,-66.35723,322.13,0.45,0.63,2022-06-30,446,N,nominal,2.0NRT,283.91,2.22,N,SUOMI,,,"-27.45838,-66.35723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28992.0, , 
24918,-27.45704,-66.3587,304.94,0.45,0.63,2022-06-30,446,N,nominal,2.0NRT,283.04,1.93,N,SUOMI,,,"-27.457040000000003,-66.3587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28993.0, , 
24919,-27.45817,-66.35417,306.28,0.45,0.63,2022-06-30,446,N,nominal,2.0NRT,282.94,1.48,N,SUOMI,,,"-27.458170000000003,-66.35417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28994.0, , 
24920,-27.41735,-70.2626,325.55,0.74,0.76,2022-06-30,446,N,nominal,2.0NRT,281.85,7.34,N,SUOMI,,,"-27.41735,-70.2626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28997.0, , 
24921,-27.41964,-70.25435,305.6,0.74,0.76,2022-06-30,446,N,nominal,2.0NRT,281.52,3.39,N,SUOMI,,,"-27.41964,-70.25435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28998.0, , 
24922,-27.41143,-70.26541999999999,309.51,0.74,0.76,2022-06-30,446,N,nominal,2.0NRT,280.95,2.28,N,SUOMI,,,"-27.41143,-70.26541999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28999.0, , 
24923,-27.4206,-70.25998,333.36,0.74,0.76,2022-06-30,446,N,nominal,2.0NRT,281.37,4.43,N,SUOMI,,,"-27.4206,-70.25998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000.0, , 
24924,-28.7528,-65.74258,327.56,0.38,0.59,2022-06-30,446,N,nominal,2.0NRT,279.01,2.09,N,SUOMI,,,"-28.7528,-65.74258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29001.0, , 
24925,-33.13643,-66.07701999999999,367.0,0.32,0.54,2022-06-30,446,N,high,2.0NRT,279.58,12.86,N,SUOMI,,,"-33.13643,-66.07701999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29052.0, , 
24926,-33.13721,-66.07374,324.64,0.32,0.54,2022-06-30,446,N,nominal,2.0NRT,273.84,6.24,N,SUOMI,,,"-33.137209999999996,-66.07374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29053.0, , 
24927,-33.13463,-66.07579,367.0,0.32,0.54,2022-06-30,446,N,high,2.0NRT,281.68,13.79,N,SUOMI,,,"-33.13463,-66.07579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29054.0, , 
24928,-32.77454,-68.41705,314.88,0.43,0.62,2022-06-30,446,N,nominal,2.0NRT,277.87,1.15,N,SUOMI,,,"-32.77454,-68.41705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29057.0, , 
24929,-32.77575,-68.41241,298.31,0.43,0.62,2022-06-30,446,N,nominal,2.0NRT,277.71,1.15,N,SUOMI,,,"-32.77575,-68.41241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29058.0, , 
